��DatGeracaoConjuntoDados,NumAno,DscClassificacao,DescricaoCategoria,SigAgente,NumCNPJ,NumOrdemIASC,MdaIndicadorQualidade,MdaIndicadorSatisfacao,MdaIndicadorFidelidade,MdaIndicadorValor,MdaIndicadorConfianca,MdaSatisfacaoR2,MdaFidelidadeR2,MdaValorR2,MdaConfiancaR2,MdaPesoQualidadeInformacao,MdaPesoQualidadeAcesso,MdaPesoQualidadeConfiabilidade,MdaPesoSatisfacaoS1,MdaPesoSatisfacaoS2,MdaPesoSatisfacaoS3,MdaPesoFidelidadeV33,MdaPesoFidelidadeV34,MdaPesoFidelidadeV35,MdaPesoFidelidadeV36,MdaPesoValorV28,MdaPesoValorV29,MdaPesoValorV30,MdaPesoValorV31,MdaPesoValorV91,MdaPesoConfiancaV37,MdaPesoConfiancaV38,MdaPesoConfiancaV39,MdaPesoConfiancaV40,MdaMediaQualidadeInformacaoV15,MdaMediaQualidadeInformacaoV16,MdaMediaQualidadeInformacaoV21,MdaMediaQualidadeInformacaoV22,MdaMediaQualidadeInformacaoV23,MdaMediaQualidadeInformacaoV24,MdaMediaQualidadeInformacaoV90,MdaMediaQualidadeAcessoV10,MdaMediaQualidadeAcessoV11,MdaMediaQualidadeAcessoV12,MdaMediaQualidadeAcessoV17,MdaMediaQualidadeAcessoV19,MdaMediaQualidadeConfiabilidadeV8,MdaMediaQualidadeConfiabilidadeV9,MdaMediaQualidadeConfiabilidadeV13,MdaMediaQualidadeConfiabilidadeV14,MdaMediaQualidadeConfiabilidadeV18,MdaMediaQualidadeConfiabilidadeV20,MdaMediaSatisfacaoS1,MdaMediaSatisfacaoS2,MdaMediaSatisfacaoS3,MdaMediaFidelidadeV33,MdaMediaFidelidadeV34,MdaMediaFidelidadeV35,MdaMediaFidelidadeV36,MdaMediaFidelidadeV93,MdaMediaFidelidadeV94,MdaMediaValorV28,MdaMediaValorV29,MdaMediaValorV30,MdaMediaValorV31,MdaMediaValorV91,MdaMediaValorV92,MdaMediaConfiancaV37,MdaMediaConfiancaV38,MdaMediaConfiancaV39,MdaMediaConfiancaV40,MdaMediaQualidadeInformacao,MdaMediaQualidadeAcesso,MdaMediaQualidadeConfiabilidade,MdaMediaQualidade,MdaMediaSatisfacao,MdaMediaFidelidade,MdaMediaValor,MdaMediaConfianca,MdaDsvPadQualidadeInformacaoV15,MdaDsvPadQualidadeInformacaoV16,MdaDsvPadQualidadeInformacaoV21,MdaDsvPadQualidadeInformacaoV22,MdaDsvPadQualidadeInformacaoV23,MdaDsvPadQualidadeInformacaoV24,MdaDsvPadQualidadeInformacaoV90,MdaDsvPadQualidadeAcessoV10,MdaDsvPadQualidadeAcessoV11,MdaDsvPadQualidadeAcessoV12,MdaDsvPadQualidadeAcessoV17,MdaDsvPadQualidadeAcessoV19,MdaDsvPadQualidadeConfiabilidadeV8,MdaDsvPadQualidadeConfiabilidadeV9,MdaDsvPadQualidadeConfiabilidadeV13,MdaDsvPadQualidadeConfiabilidadeV14,MdaDsvPadQualidadeConfiabilidadeV18,MdaDsvPadQualidadeConfiabilidadeV20,MdaDsvPadSatisfacaoS1,MdaDsvPadSatisfacaoS2,MdaDsvPadSatisfacaoS3,MdaDsvPadFidelidadeV33,MdaDsvPadFidelidadeV34,MdaDsvPadFidelidadeV35,MdaDsvPadFidelidadeV36,MdaDsvPadFidelidadeV93,MdaDsvPadFidelidadeV94,MdaDsvPadValorV28,MdaDsvPadValorV29,MdaDsvPadValorV30,MdaDsvPadValorV31,MdaDsvPadValorV91,MdaDsvPadValorV92,MdaDsvPadConfiancaV37,MdaDsvPadConfiancaV38,MdaDsvPadConfiancaV39,MdaDsvPadConfiancaV40,MdaDsvPadQualidadeInformacao,MdaDsvPadQualidadeAcesso,MdaDsvPadQualidadeConfiabilidade,MdaDsvPadQualidade,MdaDsvPadSatisfacao,MdaDsvPadFidelidade,MdaDsvPadValor,MdaDsvPadConfianca,MdaCoeficienteQualidadeValor,MdaCoeficienteQualidadeSatisfacao,MdaCoeficienteValorSatisfacao,MdaCoeficienteQualidadeConfianca,MdaCoeficienteSatisfacaoConfianca,MdaCoeficienteConfiancaFidelidade,MdaCoeficienteSatisfacaoFidelidade,QtdSexoV11,QtdSexoV12,QtdFaixaEtariaV21,QtdFaixaEtariaV22,QtdFaixaEtariaV23,QtdFaixaEtariaV24,QtdFaixaEtariaV25,QtdFaixaEtariaV26,QtdFaixaEtariaV27,QtdFaixaEtariaV28,QtdFaixaEtariaV29,QtdEscolaridadeV31,QtdEscolaridadeV32,QtdEscolaridadeV33,QtdEscolaridadeV34,QtdEscolaridadeV35,QtdEscolaridadeV36,QtdEscolaridadeV37,QtdEscolaridadeV38,QtdEscolaridadeV39,QtdRendaV41,QtdRendaV42,QtdRendaV43,QtdRendaV44,QtdRendaV45,QtdRendaV46,QtdRendaV47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01,2020,Concession�ria,Sul, Sudeste e Centro-Oeste at� 30 mil unidades consumidoras,Mux Energia,97578090000134,1,87,700000000000003,78,959999999999994,,33,93,88,670000000000002,0,"5,446E+016",,0,1552,0,"5,613E+016",0,"9,1781274E+016",0,"9,2009342E+016",0,"9,0484124E+016",0,"8,1586853E+016",0,"8,3748938E+016",0,"7,5817616E+016",,,,,,,,,1,0,"9,1232674E+016",0,"9,1312518E+016",,,,7,8646289999999999,9,3726420000000008,,,8,638655,8,942731,8,8296700000000001,9,9,5219299999999993,9,3708329999999993,,8,"9,83402E+015",8,7809919999999995,8,3576639999999998,8,"9,10798E+015",8,8333329999999997,8,8790700000000005,8,785119999999999,8,2291670000000003,8,,,,,7,709544,8,919492,,,,,4,53719,7,871369,9,382979999999993,8,"9,22078000000001E+015",,,8,7046639999999993,9,1806079999999994,8,7908770000000001,8,8920499999999993,8,1025600000000004,,4,537190000000001,8,"9,80188E+015",,2,202,0,"9,84E+016",,,1,"9,36E+015",1,412,1,323,1,458,1,52,1,351,,1,333,1,6739999999999999,1,6719999999999999,1,4590000000000001,1,2549999999999999,1,498,1,7849999999999999,1,6699999999999999,1,617,,,,,1,835,1,499,,,,,2,15,1,577,1,4299999999999999,1,4610000000000001,,,1,3240000000000001,0,"9,71E+016",1,589999999999999,1,229999999999999,1,3600000000000001,,2,150000000000001,1,319,0,"3,939E+016",0,5454,0,"3,012E+016",0,"4,332E+016",0,"3,558E+016",,,58,184,0,8,25,43,40,63,25,38,0,0,146,13,9,44,6,20,4,0,9,157,66,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01,2020,Concession�ria,Nordeste,Sulgipe,13255658000196,2,83,560000000000002,76,10000000000005,,38,539999999999999,84,659999999999997,0,"4,593E+016",,0,809,0,"5,854E+016",0,"8,9544118E+016",0,91923504,0,91750197,0,"7,8268574E+016",0,"8,327317E+016",0,"7,7229169E+016",,,,,,,,,1,0,"9,2503844E+016",0,"9,2795908E+016",,,,7,4801320000000002,8,"9,44637E+015",,,8,33899999999996,8,40273,8,4280299999999997,8,5868059999999993,9,1081079999999996,9,3081969999999998,,8,7639340000000008,8,6204619999999998,7,8280000000000003,8,6175440000000005,8,5348839999999999,8,5598589999999994,7,6940790000000003,7,"9,86842E+015",7,8311260000000003,,,,,7,851485,8,600683,,,,,4,468852,7,606557,8,7209299999999992,8,5181520000000006,,,8,2077220000000004,8,8577849999999998,8,4874469999999995,8,517652,7,8373489999999997,,4,468852,8,6195409999999999,,2,5910000000000002,1,5860000000000001,,,2,2850000000000001,2,133,1,8979999999999999,1,7769999999999999,1,621,1,4630000000000001,,1,677,1,867,2,282,1,849,1,"9,59E+015",1,899,1,966,1,823,1,734,,,,,2,101,2,131,,,,,2,369,1,783,1,8,2,209999999999999,,,1,655,1,256,1,425,1,3149999999999999,1,466,,2,3690000000000002,1,77,0,2843,0,"5,247E+016",0,2928,0,"4,228E+016",0,"4,191E+016",,,98,207,0,28,67,83,69,31,10,17,0,0,149,27,24,69,8,25,3,0,140,126,35,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01,2020,Concession�ria,Sul, Sudeste e Centro-Oeste at� 30 mil unidades consumidoras,Hidropan,91982348000187,3,83,959999999999994,75,719999999999999,,27,199999999999999,81,459999999999994,0,"6,349E+016",,0,"1,342E+016",0,"6,568E+016",0,90284564,0,91314317,0,"9,129443E+016",0,"8,4378962E+016",0,"8,7173425E+016",0,"8,423384E+016",,,,,,,,,1,0,"9,3273896E+016",0,"9,3480418E+016",,,,7,7802689999999997,8,"9,84693999999999E+015",,,8,1818179999999998,8,34375,8,4252870000000009,8,5066670000000002,9,1614350000000009,9,2048190000000005,,8,7368419999999993,8,5403230000000008,8,588239999999995,8,6635069999999992,8,4508200000000002,8,6636769999999999,8,40320000000005,7,6385540000000001,7,807531,,,,,7,665306,8,67511,,,,,3,447581,7,62753,8,4016739999999999,8,2620090000000008,,,8,3226329999999997,8,8245520000000006,8,5189990000000009,8,5553950000000007,7,8167059999999999,,3,447581,8,3318410000000007,,2,259999999999998,1,282,,,2,1040000000000001,1,82,1,446,1,768,1,3109999999999999,1,4319999999999999,,1,3560000000000001,1,486,1,51,1,52,1,4810000000000001,1,5229999999999999,1,6970000000000001,1,8009999999999999,1,5920000000000001,,,,,1,964,2,284,,,,,1,997,1,691,1,5649999999999999,1,734,,,1,427,1,1779999999999999,1,700000000000001,1,1140000000000001,1,448,,1,"9,97E+015",1,54,0,"3,663E+016",0,"5,862E+016",0,"3,47E+016",0,"4,532E+016",0,3952,,,108,142,0,18,41,52,51,44,16,28,0,0,105,19,12,64,10,25,15,0,12,121,94,17,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01,2020,Concession�ria,Sul, Sudeste e Centro-Oeste at� 30 mil unidades consumidoras,Forcel,79850574000109,4,82,790000000000006,70,180000000000007,,30,32,81,239999999999995,0,"4,387E+016",,0,1051,0,6391,0,"8,860756E+016",0,"8,9869006E+016",0,"8,9073312E+016",0,"8,203569E+016",0,"8,7346189E+016",0,"8,3327792E+016",,,,,,,,,1,0,"9,0312661E+016",0,"9,035073E+016",,,,7,762710000000002,8,7762560000000001,,,8,440529999999999,8,617391,8,3681590000000003,8,4818180000000005,9,638299999999994,8,"9,54732999999999E+015",,8,7824270000000002,8,5617020000000004,8,2647060000000003,8,5765770000000003,8,3983050000000006,8,4423960000000005,7,1234570000000001,7,340249,7,4808510000000004,,,,,7,567901,7,611354,,,,,3,728395,7,580247,8,2978719999999999,8,3247859999999996,,,8,1284930000000006,8,7171350000000007,8,5043520000000008,8,4499929999999992,7,3148520000000001,,3,7283949999999999,8,3113290000000006,,2,6259999999999999,1,8979999999999999,,,2,23,1,883,1,7889999999999999,1,974,1,827,1,"9,42E+015",,1,4530000000000001,1,681,2,36,1,8540000000000001,1,"9,53E+015",1,"9,04E+015",2,2549999999999999,2,69,1,792,,,,,1,907,2,638,,,,,2,26,1,833,2,1200000000000001,2,137,,,1,7070000000000001,1,4139999999999999,1,2529999999999999,1,3009999999999999,1,718,,2,2599999999999998,1,923,0,3241,0,"4,414E+016",0,3695,0,"4,994E+016",0,"3,819E+016",,,77,166,0,19,45,27,49,53,17,33,0,0,124,19,14,65,3,13,5,0,52,109,74,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01,2020,Concession�ria,Nordeste,Energisa Para�ba,9095183000140,5,78,469999999999999,70,159999999999997,,30,859999999999999,76,390000000000001,0,"4,059E+016",,0,1313,0,"5,158E+016",0,"8,9377464E+016",0,"9,2493995E+016",0,"9,1883612E+016",0,73504859,0,"8,3240164E+016",0,79353688,,,,,,,,,1,0,"9,0943201E+016",0,"9,1212417E+016",,,,7,1470589999999996,8,5897439999999996,,,7,8738400000000004,8,151119,7,4285709999999998,7,"9,02299E+015",8,"9,07579E+015",8,"9,51525999999999E+015",,8,508108,8,508108,7,5438200000000002,7,8503790000000002,7,7690910000000004,7,4861659999999999,7,1816550000000001,7,4801440000000001,7,2622949999999999,,,,,7,38657,7,857143,,,,,3,776978,7,389587,8,607729999999993,7,6893380000000002,,,7,"9,40441E+015",8,2974940000000004,7,"9,44279E+015",8,607380000000006,7,3080309999999997,,3,7769780000000002,7,8750559999999998,,2,6880000000000002,1,8129999999999999,,,2,1800000000000002,2,88,2,25,2,278,1,742,1,736,,1,6839999999999999,1,7210000000000001,2,3919999999999999,2,105,2,1520000000000001,2,4279999999999999,2,1429999999999998,1,907,2,97,,,,,2,137,2,25,,,,,2,316,1,895,2,800000000000001,2,2309999999999999,,,1,6479999999999999,1,4730000000000001,1,4430000000000001,1,3879999999999999,1,6100000000000001,,2,3159999999999998,1,"9,63E+015",0,3624,0,"4,402E+016",0,"3,223E+016",0,"4,262E+016",0,"3,747E+016",,,175,382,0,44,97,127,130,92,33,34,0,0,213,31,33,183,20,57,20,0,179,251,105,19,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
